"MassFeature","mz","rt","column","z","MS2"
"DHPS",155.001422,640.2,"HILIC",-1,"156.0116, 100; 92.04942, 46.9; 155.03551, 24; 156.05585, 11.5; 155.86484, 9; 154.94649, 7.5; 155.05843, 6.2; 79.97997, 2.7; 93.04459, 2.5; 128.02423, 2.4; 137.03464, 2.3; 78.97205, 2; 65.01334, 2; 102.00859, 1.8; 156.03098, 1.8; 154.86795, 1.7; 89.01338, 1.6; 129.04459, 1.5; 154.96745, 1.2; 101.01348, 1.2; 156.03941, 1.1; 132.98351, 1.1; 154.04027, 1; 136.95715, 0.9; 90.00868, 0.9; 154.02744, 0.9; 111.06841, 0.9; 154.91377, 0.8; 154.06157, 0.7; 155.0238, 0.7; 112.05054, 0.7; 114.00858, 0.6; 82.04004, 0.6; 58.02867, 0.6"
"N-acetyltaurine",166.017406,224.4,"HILIC",-1,NA
"I167.0204R10.56",167.0203618,633.4822175,"HILIC",-1,"167.0204, 100; 124.01421, 63.5; 80.96403, 51.2; 167.01251, 33.6; 166.05367, 32.1; 166.83263, 24.9; 132.8669, 18.9; 79.9562, 18.1; 167.03484, 11.6; 140.02451, 10.6; 82.03986, 8.9; 96.01935, 7.3; 124.05054, 7; 167.05742, 5.7; 167.83582, 4.8; 141.01987, 4; 65.01331, 3.9; 168.03094, 3.6; 130.04005, 3.6; 97.0396, 3.3; 142.02507, 2.7; 81.04468, 2.6; 69.00832, 2.4; 166.06116, 2.2; 168.02032, 1.9; 90.00868, 1.6; 83.02393, 1.5; 89.01325, 1.5; 125.03474, 1.5; 97.00328, 1.5; 109.03954, 1.4; 168.05621, 1.2; 125.0459, 1.2; 58.02859, 1.2; 67.02898, 1.1; 98.03495, 1.1; 123.05539, 1.1; 168.04927, 1.1; 125.01761, 1.1; 96.05571, 1.1; 95.02402, 1; 83.04314, 1; 82.02874, 0.9; 166.04106, 0.9; 85.03949, 0.9; 131.03532, 0.9; 98.02378, 0.9; 66.00849, 0.8; 140.04544, 0.7; 165.78871, 0.7; 51.34023, 0.7; 103.48238, 0.7; 127.23262, 0.7; 121.10336, 0.7; 76.67471, 0.7; 60.94928, 0.6; 71.86556, 0.6; 110.55998, 0.6; 118.14156, 0.6; 92.71497, 0.6; 72.87327, 0.6; 59.236, 0.6; 86.9158, 0.6"
"Cysteic Acid",167.996671,729,"HILIC",-1,"168.02695, 100; 100.03928, 76.2; 168.01457, 73.8; 168.04941, 54.9; 168.9198, 33.5; 167.05731, 30.1; 81.95201, 18.4; 79.95616, 17.5; 140.03186, 12.3; 150.93716, 11.3; 68.99445, 11; 142.04004, 10.7; 169.05132, 9.8; 168.0573, 9.3; 169.01537, 4.3; 169.09747, 4.3; 150.98802, 4; 168.94801, 3.9; 74.99249, 3.7; 85.03951, 3.7; 167.95729, 3.3; 98.0233, 3.2; 141.01955, 3.1; 83.02372, 2.9; 153.00552, 2.9; 140.01924, 2.6; 110.92516, 2.3; 83.01259, 2.3; 82.03963, 2.2; 81.96042, 2.2; 82.02853, 2.2; 129.99844, 2.1; 101.04247, 2.1; 71.15807, 2.1; 67.02885, 2.1; 74.43908, 2; 69.25253, 1.9; 64.1195, 1.7; 61.56603, 1.7"
"Sulfolactic Acid",168.980687,796.5,"HILIC",-1,"142.04015, 100; 169.05135, 97.7; 143.03902, 56.9; 170.05053, 37.5; 170.07166, 33.5; 65.0133, 27.8; 115.02909, 25.4; 130.0275, 22.1; 116.0243, 20.8; 102.00867, 20.5; 168.83571, 17.9; 129.03229, 16.2; 169.03963, 14.3; 89.01328, 10.8; 90.00866, 9.8; 85.03954, 8.8; 141.01987, 8.4; 170.03534, 7.9; 58.02863, 7.4; 143.02426, 6.3; 80.96397, 6.3; 66.00862, 6.3; 65.99733, 6.2; 168.03125, 5.2; 168.94807, 5.1; 170.00922, 5.1; 168.04927, 4.9; 169.09758, 4.8; 169.01512, 4.7; 168.92447, 4.6; 169.05933, 3.3; 169.02698, 3.2; 168.0565, 3.1; 127.05026, 3; 64.01815, 3; 97.03952, 3; 134.86415, 2.9; 154.02748, 2.9; 128.02448, 2.8; 88.01823, 2.7; 170.02786, 2.6; 168.98885, 2.6; 109.03974, 2.5; 143.06088, 2.5; 82.0398, 2.4; 98.02345, 2.4; 101.01346, 2.3; 91.02917, 2.1; 130.03999, 2.1; 142.92365, 2; 169.98602, 1.9; 83.0239, 1.8; 150.93745, 1.8; 169.12289, 1.8; 56.14169, 1.8; 155.0229, 1.7; 126.06635, 1.7; 74.00215, 1.7; 116.03161, 1.7; 103.01636, 1.6; 123.39394, 1.6; 141.02884, 1.6; 112.03933, 1.6; 143.28726, 1.5; 142.00407, 1.5; 50.00244, 1.5; 84.04473, 1.4; 110.03454, 1.4; 98.13829, 1.4; 155.08159, 1.4; 81.04472, 1.4; 123.41672, 1.4; 126.05499, 1.4; 109.56457, 1.3; 111.58054, 1.3; 75.52028, 1.3; 54.1995, 1.2"
"I172.0067R5.44",172.0066965,326.6395585,"HILIC",-1,"154.94653, 100; 79.9562, 21.3; 130.0401, 12.7; 172.06223, 11.4; 171.06691, 11.3; 65.01333, 10.8; 172.95724, 9; 106.03996, 7.1; 132.05574, 4.8; 144.05746, 4.6; 105.04471, 4.5; 89.01259, 4.2; 145.0511, 4.2; 131.03934, 3.7; 66.00907, 3; 172.07035, 2.8; 91.02904, 2.7; 76.96886, 2.7; 170.99611, 2.5; 173.04964, 2.4; 173.08251, 2.3; 172.00685, 2.3; 81.04462, 1.9; 96.95897, 1.9; 118.04004, 1.8; 129.04482, 1.7; 146.03517, 1.7; 120.05569, 1.7; 172.05122, 1.5; 146.07148, 1.5; 67.02897, 1.3; 119.02408, 1; 107.03845, 0.8; 171.1384, 0.8; 145.05894, 0.8; 90.00859, 0.8; 121.05096, 0.8; 145.04017, 0.7; 154.08826, 0.6; 173.0656, 0.6; 106.04819, 0.6"
"I186.0253R12.12",186.0253259,727.1395421,"HILIC",-1,"121.0509, 100; 159.06802, 19; 144.0558, 17.8; 65.01331, 17.4; 80.9161, 17.3; 186.07793, 15.2; 168.01251, 13.6; 132.05572, 13.3; 185.94896, 10.9; 186.02653, 10.6; 160.05017, 9.9; 120.05566, 9.5; 145.05112, 8.2; 104.0243, 7; 106.03996, 7; 187.06198, 6.3; 91.02901, 6.2; 118.03998, 5.7; 66.00855, 5.3; 185.08268, 4.8; 133.03978, 4.7; 117.04478, 4.6; 65.99732, 3.9; 89.01337, 3.6; 122.0516, 3.4; 186.06688, 3.2; 105.04469, 3.1; 116.02432, 3.1; 144.04342, 2.8; 158.05058, 2.8; 158.07156, 2.7; 77.01335, 2.7; 133.05003, 2.6; 90.00861, 2.4; 159.03058, 2.4; 92.02423, 2.3; 158.03547, 2.3; 81.04462, 2.2; 157.05112, 2.2; 130.04004, 2.1; 145.03956, 2; 159.05591, 1.9; 147.04288, 1.8; 185.04614, 1.7; 143.03655, 1.6; 119.02405, 1.6; 142.04025, 1.6; 140.01935, 1.5; 146.03516, 1.5; 125.09608, 1.4; 160.06219, 1.4; 67.02896, 1.3; 171.05437, 1.3; 119.04787, 1.1; 187.07275, 1.1; 131.03534, 1.1; 169.01593, 1.1; 79.02898, 1.1; 187.09789, 1.1; 186.04108, 1.1; 115.02912, 1.1; 186.08585, 1; 107.02395, 1; 146.07146, 1; 120.04307, 0.9; 134.03515, 0.9; 119.06039, 0.9; 68.01303, 0.9; 144.01953, 0.9; 131.0605, 0.9; 187.02646, 0.9; 82.0399, 0.8; 110.07126, 0.7; 160.06994, 0.7; 78.9177, 0.7; 145.02746, 0.7; 143.04816, 0.6; 185.15415, 0.6; 158.02896, 0.6; 145.05845, 0.6"
"I192.9131R3.72",192.9130555,223.118902,"HILIC",-1,"156.93585, 100; 150.08527, 47; 192.91228, 38.6; 192.90288, 6.4; 128.94092, 5.9; 177.0287, 4.2; 79.95611, 4.1; 76.96901, 4; 98.93014, 3.8; 120.0748, 3.7; 193.09784, 3.3; 198.98518, 2.9; 149.07884, 2.9; 152.90669, 2.9; 131.83582, 2.8; 69.22508, 2.8; 63.41139, 2.8; 67.20789, 2.8; 73.60136, 2.6; 126.03768, 2.6; 200.41985, 2.5; 85.06272, 2.4; 58.24725, 2.4; 58.49472, 2.4; 96.49982, 2.2; 50.47551, 2.2; 51.40905, 2.1"
"I192.9808R2.93",192.9808412,175.5976961,"HILIC",-1,"192.91089, 100; 174.90001, 69.1; 192.90211, 14.4; 79.95608, 10.9; 113.02316, 10.1; 192.98027, 4.9; 192.95015, 4.4; 80.96391, 3.8; 193.90984, 3.1; 136.08809, 2.8; 191.64795, 2.5; 84.12411, 2.5; 62.16412, 2.4; 114.93309, 2.4; 78.00172, 2.3; 107.82986, 2.3; 125.29858, 2.2; 68.87253, 2.2"
"I194.9965R12.04",194.9964701,722.4974859,"HILIC",-1,"194.90535, 100; 176.89459, 66.7; 195.90527, 11.9; 177.89462, 7.5; 116.92747, 5.7; 194.99634, 3.5; 196.06259, 2.1; 195.06702, 2; 169.05138, 1.6; 160.84134, 1.5; 142.04011, 1.5; 80.96399, 1.1; 177.90244, 1; 65.01331, 1; 168.05576, 0.9; 82.03992, 0.8; 130.04017, 0.8; 167.03557, 0.6"
