"ID","M_mass","Names","CE","score","spectrum","spectrum_KRHform","spectrum_KRHform_filtered"
"AU100904",310.073575928,"Sulfadimethoxine; 4-amino-n-(2,6-dimethoxypyrimidin-4-yl)benzenesulfonamide","40 eV",5,"112.0515:2.118270 123.0436:2.184466 124.0205:1.897617 124.0508:2.162401 126.0666:5.803177 127.0502:2.030009 132.0558:1.963813 138.0295:4.898500 140.045:77.780229 141.0524:38.989409 142.058:2.449250 154.0604:100.000000 155.0634:5.383936 156.0104:20.101500 156.0407:4.236540 156.0761:54.744042 157.0639:1.809356 160.049:1.985878 178.0597:3.420124 201.077:8.274492 202.0789:1.787290 212.0697:15.114740 213.0728:2.581642 229.0713:2.206531 230.0797:6.421006 231.0852:1.919682 245.1026:1.919682","112.0515, 2.118270; 123.0436, 2.184466; 124.0205, 1.897617; 124.0508, 2.162401; 126.0666, 5.803177; 127.0502, 2.030009; 132.0558, 1.963813; 138.0295, 4.898500; 140.045, 77.780229; 141.0524, 38.989409; 142.058, 2.449250; 154.0604, 100.000000; 155.0634, 5.383936; 156.0104, 20.101500; 156.0407, 4.236540; 156.0761, 54.744042; 157.0639, 1.809356; 160.049, 1.985878; 178.0597, 3.420124; 201.077, 8.274492; 202.0789, 1.787290; 212.0697, 15.114740; 213.0728, 2.581642; 229.0713, 2.206531; 230.0797, 6.421006; 231.0852, 1.919682; 245.1026, 1.919682","154.0604, 100; 140.045, 77.8; 156.0761, 54.7; 141.0524, 39; 156.0104, 20.1; 212.0697, 15.1; 201.077, 8.3; 230.0797, 6.4; 126.0666, 5.8; 155.0634, 5.4; 138.0295, 4.9; 156.0407, 4.2; 178.0597, 3.4; 213.0728, 2.6; 142.058, 2.4; 229.0713, 2.2; 123.0436, 2.2; 124.0508, 2.2; 112.0515, 2.1; 127.0502, 2; 160.049, 2; 132.0558, 2; 231.0852, 1.9; 245.1026, 1.9; 124.0205, 1.9; 157.0639, 1.8; 202.0789, 1.8"
"AU100905",310.073575928,"Sulfadimethoxine; 4-amino-n-(2,6-dimethoxypyrimidin-4-yl)benzenesulfonamide","50 eV",5,"112.051:5.243790 123.0427:7.773689 124.0502:6.439742 126.0287:5.841766 126.0666:6.255750 127.0491:3.955842 132.0559:9.521619 133.0628:5.105796 138.0293:10.579577 140.045:45.768169 141.0521:46.780129 142.0539:3.817847 154.0606:100.000000 156.0102:3.679853 156.0405:5.243790 156.0769:17.157314 157.0629:5.887764 160.0507:3.909844 178.0613:9.429623 184.0741:4.737810 201.0768:9.015639 212.0705:7.589696","112.051, 5.243790; 123.0427, 7.773689; 124.0502, 6.439742; 126.0287, 5.841766; 126.0666, 6.255750; 127.0491, 3.955842; 132.0559, 9.521619; 133.0628, 5.105796; 138.0293, 10.579577; 140.045, 45.768169; 141.0521, 46.780129; 142.0539, 3.817847; 154.0606, 100.000000; 156.0102, 3.679853; 156.0405, 5.243790; 156.0769, 17.157314; 157.0629, 5.887764; 160.0507, 3.909844; 178.0613, 9.429623; 184.0741, 4.737810; 201.0768, 9.015639; 212.0705, 7.589696","154.0606, 100; 141.0521, 46.8; 140.045, 45.8; 156.0769, 17.2; 138.0293, 10.6; 132.0559, 9.5; 178.0613, 9.4; 201.0768, 9; 123.0427, 7.8; 212.0705, 7.6; 124.0502, 6.4; 126.0666, 6.3; 157.0629, 5.9; 126.0287, 5.8; 112.051, 5.2; 156.0405, 5.2; 133.0628, 5.1; 184.0741, 4.7; 127.0491, 4; 160.0507, 3.9; 142.0539, 3.8; 156.0102, 3.7"
"AU101001",310.073575928,"Sulfadoxine; 4-amino-N-(5,6-dimethoxypyrimidin-4-yl)benzenesulfonamide","Ramp 21.8-32.7 eV",5,"53.0386:0.535490 54.0339:0.505437 65.0381:7.755041 68.0491:10.088247 69.0329:1.049123 78.0332:1.038195 79.0179:1.721217 80.0363:0.707612 80.0493:1.446642 92.0498:46.272062 93.0559:3.808535 96.0447:1.331894 108.0463:57.395771 109.049:3.816731 109.0643:0.531392 110.0614:7.111633 113.0359:0.703513 120.0568:1.860554 124.0215:1.529971 124.0512:0.572373 126.0665:2.939730 138.0301:0.707612 140.0457:34.351948 141.0528:5.744222 154.0615:32.562428 155.0682:7.798754 156.0118:100.000000 156.0771:40.377575 157.0147:7.961314 157.0796:2.486203 158.0078:3.766188 201.0773:1.349653 212.0697:2.576362 213.0752:0.527294 218.0236:1.945249 230.0808:5.531119 231.085:0.811431 245.1045:18.128791 246.1073:2.479373 311.0829:49.986340 312.0854:8.491339 313.0812:2.222556","53.0386, 0.535490; 54.0339, 0.505437; 65.0381, 7.755041; 68.0491, 10.088247; 69.0329, 1.049123; 78.0332, 1.038195; 79.0179, 1.721217; 80.0363, 0.707612; 80.0493, 1.446642; 92.0498, 46.272062; 93.0559, 3.808535; 96.0447, 1.331894; 108.0463, 57.395771; 109.049, 3.816731; 109.0643, 0.531392; 110.0614, 7.111633; 113.0359, 0.703513; 120.0568, 1.860554; 124.0215, 1.529971; 124.0512, 0.572373; 126.0665, 2.939730; 138.0301, 0.707612; 140.0457, 34.351948; 141.0528, 5.744222; 154.0615, 32.562428; 155.0682, 7.798754; 156.0118, 100.000000; 156.0771, 40.377575; 157.0147, 7.961314; 157.0796, 2.486203; 158.0078, 3.766188; 201.0773, 1.349653; 212.0697, 2.576362; 213.0752, 0.527294; 218.0236, 1.945249; 230.0808, 5.531119; 231.085, 0.811431; 245.1045, 18.128791; 246.1073, 2.479373; 311.0829, 49.986340; 312.0854, 8.491339; 313.0812, 2.222556","156.0118, 100; 108.0463, 57.4; 311.0829, 50; 92.0498, 46.3; 156.0771, 40.4; 140.0457, 34.4; 154.0615, 32.6; 245.1045, 18.1; 68.0491, 10.1; 312.0854, 8.5; 157.0147, 8; 155.0682, 7.8; 65.0381, 7.8; 110.0614, 7.1; 141.0528, 5.7; 230.0808, 5.5; 109.049, 3.8; 93.0559, 3.8; 158.0078, 3.8; 126.0665, 2.9; 212.0697, 2.6; 157.0796, 2.5; 246.1073, 2.5; 313.0812, 2.2; 218.0236, 1.9; 120.0568, 1.9; 79.0179, 1.7; 124.0215, 1.5; 80.0493, 1.4; 201.0773, 1.3; 96.0447, 1.3; 69.0329, 1; 78.0332, 1; 231.085, 0.8; 80.0363, 0.7; 138.0301, 0.7; 113.0359, 0.7; 124.0512, 0.6; 53.0386, 0.5; 109.0643, 0.5; 213.0752, 0.5; 54.0339, 0.5"
"AU101101",250.05244656,"Sulfadiazine; 4-amino-n-pyrimidin-2-ylbenzenesulfonamide","10 eV",5,"156.0106:9.361897 174.0199:0.724251 176.012:0.693756 251.0596:100.000000 252.0616:7.867653 253.0565:2.729283","156.0106, 9.361897; 174.0199, 0.724251; 176.012, 0.693756; 251.0596, 100.000000; 252.0616, 7.867653; 253.0565, 2.729283","251.0596, 100; 156.0106, 9.4; 252.0616, 7.9; 253.0565, 2.7; 174.0199, 0.7; 176.012, 0.7"
"AU101102",250.05244656,"Sulfadiazine; 4-amino-n-pyrimidin-2-ylbenzenesulfonamide","20 eV",5,"156.0108:100.000000 157.0141:4.846871 158.0043:4.980027 174.0231:1.225033 176.0121:5.099867 185.0813:4.234354 251.0607:16.817577 252.0634:2.223702","156.0108, 100.000000; 157.0141, 4.846871; 158.0043, 4.980027; 174.0231, 1.225033; 176.0121, 5.099867; 185.0813, 4.234354; 251.0607, 16.817577; 252.0634, 2.223702","156.0108, 100; 251.0607, 16.8; 176.0121, 5.1; 158.0043, 5; 157.0141, 4.8; 185.0813, 4.2; 252.0634, 2.2; 174.0231, 1.2"
"AU101103",250.05244656,"Sulfadiazine; 4-amino-n-pyrimidin-2-ylbenzenesulfonamide","30 eV",5,"156.011:100.000000 157.0136:6.785714 158.0032:12.678571 176.013:17.232143 185.0823:21.875000","156.011, 100.000000; 157.0136, 6.785714; 158.0032, 12.678571; 176.013, 17.232143; 185.0823, 21.875000","156.011, 100; 185.0823, 21.9; 176.013, 17.2; 158.0032, 12.7; 157.0136, 6.8"
"AU101104",250.05244656,"Sulfadiazine; 4-amino-n-pyrimidin-2-ylbenzenesulfonamide","40 eV",5,"156.0113:87.096774 185.0824:100.000000","156.0113, 87.096774; 185.0824, 100.000000","185.0824, 100; 156.0113, 87.1"
"AU101201",214.05244656,"Sulfaguanidine; 2-(4-aminophenyl)sulfonylguanidine","Ramp 18.5-27.8 eV",5,"60.0555:23.099915 68.0492:4.953032 108.045:6.063194 110.061:3.458582 120.0566:3.714774 122.0012:3.672075 156.0115:100.000000 157.0139:6.917165 158.0102:3.885568 173.0366:3.586678 215.0609:6.831768","60.0555, 23.099915; 68.0492, 4.953032; 108.045, 6.063194; 110.061, 3.458582; 120.0566, 3.714774; 122.0012, 3.672075; 156.0115, 100.000000; 157.0139, 6.917165; 158.0102, 3.885568; 173.0366, 3.586678; 215.0609, 6.831768","156.0115, 100; 60.0555, 23.1; 157.0139, 6.9; 215.0609, 6.8; 108.045, 6.1; 68.0492, 5; 158.0102, 3.9; 120.0566, 3.7; 122.0012, 3.7; 173.0366, 3.6; 110.061, 3.5"
"AU101302",267.067762276,"Sulfisoxazole; 4-amino-N-(3,4-dimethyl-1,2-oxazol-5-yl)benzenesulfonamide","Ramp 20.5-30.7 eV",5,"53.0379:0.707055 54.0338:1.052953 55.0174:4.827306 58.0646:0.646015 65.0381:5.661529 66.0407:0.539193 67.0169:0.503586 68.049:14.939722 69.033:1.480238 71.0604:4.547535 72.0439:1.241162 78.0343:1.236075 79.0173:1.322549 80.0504:0.610407 86.0601:1.480238 92.0498:11.791037 93.0537:0.539193 96.0452:2.624752 99.0449:6.917951 108.0459:15.092324 109.0486:2.141513 110.0611:6.449972 113.0718:24.385778 114.0754:2.314462 120.0559:5.061295 140.0172:1.922783 156.0117:100.000000 157.0145:8.535531 158.0075:4.562796 173.0148:1.276769 175.0181:0.722315 268.0751:4.079556","53.0379, 0.707055; 54.0338, 1.052953; 55.0174, 4.827306; 58.0646, 0.646015; 65.0381, 5.661529; 66.0407, 0.539193; 67.0169, 0.503586; 68.049, 14.939722; 69.033, 1.480238; 71.0604, 4.547535; 72.0439, 1.241162; 78.0343, 1.236075; 79.0173, 1.322549; 80.0504, 0.610407; 86.0601, 1.480238; 92.0498, 11.791037; 93.0537, 0.539193; 96.0452, 2.624752; 99.0449, 6.917951; 108.0459, 15.092324; 109.0486, 2.141513; 110.0611, 6.449972; 113.0718, 24.385778; 114.0754, 2.314462; 120.0559, 5.061295; 140.0172, 1.922783; 156.0117, 100.000000; 157.0145, 8.535531; 158.0075, 4.562796; 173.0148, 1.276769; 175.0181, 0.722315; 268.0751, 4.079556","156.0117, 100; 113.0718, 24.4; 108.0459, 15.1; 68.049, 14.9; 92.0498, 11.8; 157.0145, 8.5; 99.0449, 6.9; 110.0611, 6.4; 65.0381, 5.7; 120.0559, 5.1; 55.0174, 4.8; 158.0075, 4.6; 71.0604, 4.5; 268.0751, 4.1; 96.0452, 2.6; 114.0754, 2.3; 109.0486, 2.1; 140.0172, 1.9; 69.033, 1.5; 86.0601, 1.5; 79.0173, 1.3; 173.0148, 1.3; 72.0439, 1.2; 78.0343, 1.2; 54.0338, 1.1; 175.0181, 0.7; 53.0379, 0.7; 58.0646, 0.6; 80.0504, 0.6; 66.0407, 0.5; 93.0537, 0.5; 67.0169, 0.5"
"AU101501",280.063011244,"Sulfamethoxypyridazine; 4-amino-n-(6-methoxypyridazin-3-yl)benzenesulfonamide","10 eV",5,"126.0657:0.881548 156.0104:5.608471 204.0433:2.026548 215.0921:0.552234 279.0906:33.286047 281.0702:100.000000 282.0735:8.349377 283.0673:2.284933","126.0657, 0.881548; 156.0104, 5.608471; 204.0433, 2.026548; 215.0921, 0.552234; 279.0906, 33.286047; 281.0702, 100.000000; 282.0735, 8.349377; 283.0673, 2.284933","281.0702, 100; 279.0906, 33.3; 282.0735, 8.3; 156.0104, 5.6; 283.0673, 2.3; 204.0433, 2; 126.0657, 0.9; 215.0921, 0.6"
