"ID","M_mass","Names","CE","score","spectrum","spectrum_KRHform","spectrum_KRHform_filtered"
"UT001214",770.50978523,"Phosphatidylglyceride 18:2-18:2","30%",5,"279.06:100.000000 280.16:16.656669 283.41:2.979404 489.21:4.519096 507.20:4.519096 536.63:2.159568 684.23:2.099580 688.49:1.379724 710.09:4.179164 733.75:2.959408","279.06, 100.000000; 280.16, 16.656669; 283.41, 2.979404; 489.21, 4.519096; 507.20, 4.519096; 536.63, 2.159568; 684.23, 2.099580; 688.49, 1.379724; 710.09, 4.179164; 733.75, 2.959408","279.06, 100; 280.16, 16.7; 489.21, 4.5; 507.2, 4.5; 710.09, 4.2; 283.41, 3; 733.75, 3; 536.63, 2.2; 684.23, 2.1; 688.49, 1.4"
"UT001215",794.50978523,"Phosphatidylglyceride 18:2-20:4","30%",5,"258.97:5.522766 279.07:77.655987 285.21:3.372681 303.15:100.000000 304.00:42.074199 439.09:5.059022 464.17:5.986509 531.13:11.003373 695.67:3.667791 703.30:7.166948 711.20:3.372681 718.95:3.836425","258.97, 5.522766; 279.07, 77.655987; 285.21, 3.372681; 303.15, 100.000000; 304.00, 42.074199; 439.09, 5.059022; 464.17, 5.986509; 531.13, 11.003373; 695.67, 3.667791; 703.30, 7.166948; 711.20, 3.372681; 718.95, 3.836425","303.15, 100; 279.07, 77.7; 304, 42.1; 531.13, 11; 703.3, 7.2; 464.17, 6; 258.97, 5.5; 439.09, 5.1; 718.95, 3.8; 695.67, 3.7; 285.21, 3.4; 711.2, 3.4"
"UT001216",818.50978523,"Phosphatidylglyceride 18:2-22:6","30%",5,"257.93:2.492740 279.06:100.000000 280.16:5.058083 283.09:47.483059 284.33:2.226525 300.72:1.137464 303.82:1.669894 305.43:3.460794 327.11:28.969022 327.79:2.202323 507.07:7.623427 536.93:1.258470 554.99:1.815102 644.19:3.146176 729.24:1.936108 743.17:1.960310 760.09:5.542110 785.49:6.074540","257.93, 2.492740; 279.06, 100.000000; 280.16, 5.058083; 283.09, 47.483059; 284.33, 2.226525; 300.72, 1.137464; 303.82, 1.669894; 305.43, 3.460794; 327.11, 28.969022; 327.79, 2.202323; 507.07, 7.623427; 536.93, 1.258470; 554.99, 1.815102; 644.19, 3.146176; 729.24, 1.936108; 743.17, 1.960310; 760.09, 5.542110; 785.49, 6.074540","279.06, 100; 283.09, 47.5; 327.11, 29; 507.07, 7.6; 785.49, 6.1; 760.09, 5.5; 280.16, 5.1; 305.43, 3.5; 644.19, 3.1; 257.93, 2.5; 284.33, 2.2; 327.79, 2.2; 743.17, 2; 729.24, 1.9; 554.99, 1.8; 303.82, 1.7; 536.93, 1.3; 300.72, 1.1"
"UT001217",844.525435294,"Phosphatidylglyceride 20:3-22:6","30%",5,"283.23:12.765037 301.17:8.135006 305.09:100.000000 306.40:10.601471 327.23:34.660320 328.04:12.418866 513.08:2.250108 536.99:5.235829 556.57:5.192557 560.00:2.466465 732.95:12.245781","283.23, 12.765037; 301.17, 8.135006; 305.09, 100.000000; 306.40, 10.601471; 327.23, 34.660320; 328.04, 12.418866; 513.08, 2.250108; 536.99, 5.235829; 556.57, 5.192557; 560.00, 2.466465; 732.95, 12.245781","305.09, 100; 327.23, 34.7; 283.23, 12.8; 328.04, 12.4; 732.95, 12.2; 306.4, 10.6; 301.17, 8.1; 536.99, 5.2; 556.57, 5.2; 560, 2.5; 513.08, 2.3"
"UT001218",842.50978523,"Phosphatidylglyceride 20:4-22:6","30%",5,"259.04:4.814815 283.18:58.765432 285.07:10.123457 303.17:100.000000 304.34:18.395062 327.16:75.432099 329.30:4.876543 330.89:8.024691 530.78:6.543210 555.15:6.666667","259.04, 4.814815; 283.18, 58.765432; 285.07, 10.123457; 303.17, 100.000000; 304.34, 18.395062; 327.16, 75.432099; 329.30, 4.876543; 330.89, 8.024691; 530.78, 6.543210; 555.15, 6.666667","303.17, 100; 327.16, 75.4; 283.18, 58.8; 304.34, 18.4; 285.07, 10.1; 330.89, 8; 555.15, 6.7; 530.78, 6.5; 329.3, 4.9; 259.04, 4.8"
"UT001219",870.541085358,"Phosphatidylglyceride 22:6-22:4","30%",5,"283.24:9.9 327.16:37.6 331.11:81.0 758.49:10.9 759.34:6.4 781.22:4.7","283.24, 9.9; 327.16, 37.6; 331.11, 81.0; 758.49, 10.9; 759.34, 6.4; 781.22, 4.7","331.11, 100; 327.16, 46.4; 758.49, 13.5; 283.24, 12.2; 759.34, 7.9; 781.22, 5.8"
"UT001220",868.525435294,"Phosphatidylglyceride 22:6-22:5","30%",5,"282.76:12.5 285.07:45.4 326.99:31.9 329.00:90.9 464.54:5.2 540.10:8.6 557.14:8.6","282.76, 12.5; 285.07, 45.4; 326.99, 31.9; 329.00, 90.9; 464.54, 5.2; 540.10, 8.6; 557.14, 8.6","329, 100; 285.07, 49.9; 326.99, 35.1; 282.76, 13.8; 540.1, 9.5; 557.14, 9.5; 464.54, 5.7"
"UT001221",866.50978523,"Phosphatidylglyceride 22:6-22:6","30%",5,"283.24:63.414120 284.01:6.933614 327.18:100.000000 328.05:11.359326 465.09:1.812434 525.03:1.095890 536.89:3.877766 554.85:7.966280 556.11:5.816649 627.21:2.381454 815.67:1.812434","283.24, 63.414120; 284.01, 6.933614; 327.18, 100.000000; 328.05, 11.359326; 465.09, 1.812434; 525.03, 1.095890; 536.89, 3.877766; 554.85, 7.966280; 556.11, 5.816649; 627.21, 2.381454; 815.67, 1.812434","327.18, 100; 283.24, 63.4; 328.05, 11.4; 554.85, 8; 284.01, 6.9; 556.11, 5.8; 536.89, 3.9; 627.21, 2.4; 465.09, 1.8; 815.67, 1.8; 525.03, 1.1"
"UT001222",836.541479282,"Phosphatidylinositol 16:0-18:1","30%",5,"240.78:17.517606 255.18:43.463908 256.19:6.227993 281.19:25.748239 282.17:4.027289 296.83:14.854754 391.02:39.392606 392.21:16.505282 417.06:10.387324 418.24:2.838908 421.83:2.332746 437.35:3.323063 553.07:100.000000 554.03:16.857394 571.19:29.401408 572.01:1.078345 579.00:17.517606 579.60:3.279049 580.23:3.345070 597.22:3.455106 745.14:3.169014 748.14:19.168134 749.46:3.851232","240.78, 17.517606; 255.18, 43.463908; 256.19, 6.227993; 281.19, 25.748239; 282.17, 4.027289; 296.83, 14.854754; 391.02, 39.392606; 392.21, 16.505282; 417.06, 10.387324; 418.24, 2.838908; 421.83, 2.332746; 437.35, 3.323063; 553.07, 100.000000; 554.03, 16.857394; 571.19, 29.401408; 572.01, 1.078345; 579.00, 17.517606; 579.60, 3.279049; 580.23, 3.345070; 597.22, 3.455106; 745.14, 3.169014; 748.14, 19.168134; 749.46, 3.851232","553.07, 100; 255.18, 43.5; 391.02, 39.4; 571.19, 29.4; 281.19, 25.7; 748.14, 19.2; 240.78, 17.5; 579, 17.5; 554.03, 16.9; 392.21, 16.5; 296.83, 14.9; 417.06, 10.4; 256.19, 6.2; 282.17, 4; 749.46, 3.9; 597.22, 3.5; 580.23, 3.3; 437.35, 3.3; 579.6, 3.3; 745.14, 3.2; 418.24, 2.8; 421.83, 2.3; 572.01, 1.1"
"UT001223",834.525829218,"Phosphatidylinositol 16:0-18:2","30%",5,"240.84:24.544571 241.99:1.086267 255.20:43.277400 256.20:3.837863 258.74:2.586753 261.25:0.426899 262.04:0.405765 279.16:32.917706 280.15:3.410964 296.90:16.386999 297.88:0.760810 314.92:3.060146 390.94:56.464770 392.07:8.347775 409.18:5.651126 414.98:9.691872 416.28:0.431126 417.06:0.236696 417.84:1.428632 419.29:0.333911 434.94:0.215563 436.45:0.642462 464.16:0.984826 479.41:0.409992 496.78:1.661101 497.42:0.312777 498.06:0.452259 524.06:0.190202 553.07:100.000000 554.15:16.695549 571.10:24.113445 572.01:4.476098 577.12:13.736844 578.22:5.207321 594.84:1.648421 596.13:1.382138 735.63:0.803077 746.10:6.665540 750.79:0.236696","240.84, 24.544571; 241.99, 1.086267; 255.20, 43.277400; 256.20, 3.837863; 258.74, 2.586753; 261.25, 0.426899; 262.04, 0.405765; 279.16, 32.917706; 280.15, 3.410964; 296.90, 16.386999; 297.88, 0.760810; 314.92, 3.060146; 390.94, 56.464770; 392.07, 8.347775; 409.18, 5.651126; 414.98, 9.691872; 416.28, 0.431126; 417.06, 0.236696; 417.84, 1.428632; 419.29, 0.333911; 434.94, 0.215563; 436.45, 0.642462; 464.16, 0.984826; 479.41, 0.409992; 496.78, 1.661101; 497.42, 0.312777; 498.06, 0.452259; 524.06, 0.190202; 553.07, 100.000000; 554.15, 16.695549; 571.10, 24.113445; 572.01, 4.476098; 577.12, 13.736844; 578.22, 5.207321; 594.84, 1.648421; 596.13, 1.382138; 735.63, 0.803077; 746.10, 6.665540; 750.79, 0.236696","553.07, 100; 390.94, 56.5; 255.2, 43.3; 279.16, 32.9; 240.84, 24.5; 571.1, 24.1; 554.15, 16.7; 296.9, 16.4; 577.12, 13.7; 414.98, 9.7; 392.07, 8.3; 746.1, 6.7; 409.18, 5.7; 578.22, 5.2; 572.01, 4.5; 256.2, 3.8; 280.15, 3.4; 314.92, 3.1; 258.74, 2.6; 496.78, 1.7; 594.84, 1.6; 417.84, 1.4; 596.13, 1.4; 241.99, 1.1; 464.16, 1; 735.63, 0.8; 297.88, 0.8; 436.45, 0.6"
