"MassFeature","compound_experimental","compound_theoretical","massbank_match","massbank_ID","mz_experimental","mz_theoretical","mz_massbank","column_experimental","column_theoretical","z_experimental","z_theoretical","z_massbank","MS2_experimental","MS2_theoretical","MS2_massbank","ppm_mass_error","massbank_ppm","mz_similarity_score1","rt_similarity_score1","MS2_cosine_similarity1","massbank_cosine_similarity","total_similarity_score","confidence_rank","confidence_source"
"Isethionic Acid",4,"Isethionic Acid","Isethionate; 2-Hydroxyethanesulfonic acid; Isethionic acid; 2-Hydroxyethane-1-sulfonic acid; 2-Hydroxyethanesulfonate ID:KO001232","KO001232",124.990857,124.990857,124.991403072,"HILIC","HILIC",-1,-1,-1,"124.99041, 100; 94.97973, 27.2","124.99026, 100; 94.97963, 44.7","125, 100; 95.1, 44.2; 80.1, 38.2; 106.9, 13.8; 123.1, 2; 89, 0.5",0,4.36887647126517,1,1,0.99711948932637,0.838152426563481,99.9039829775457,"1; 2","Ingalls_Standards; MoNA"
"Isethionic Acid",4,"Isethionic Acid","Isethionate; 2-Hydroxyethanesulfonic acid; Isethionic acid; 2-Hydroxyethane-1-sulfonic acid; 2-Hydroxyethanesulfonate ID:KO001232","KO001232",124.990857,124.990857,124.991403072,"HILIC","HILIC",-1,-1,-1,"124.99041, 100; 94.97973, 27.2","124.99027, 100; 94.97899, 44.6","125, 100; 95.1, 44.2; 80.1, 38.2; 106.9, 13.8; 123.1, 2; 89, 0.5",0,4.36887647126517,1,1,0.997148289570544,0.838152426563481,99.9049429856848,"1; 2","Ingalls_Standards; MoNA"
"Isethionic Acid",4,"Isethionic Acid","Isethionate; 2-Hydroxyethanesulfonic acid; Isethionic acid; 2-Hydroxyethane-1-sulfonic acid; 2-Hydroxyethanesulfonate ID:KO001232","KO001232",124.990857,124.990857,124.991403072,"HILIC","HILIC",-1,-1,-1,"124.99041, 100; 94.97973, 27.2","124.99032, 100; 94.97967, 43.4","125, 100; 95.1, 44.2; 80.1, 38.2; 106.9, 13.8; 123.1, 2; 89, 0.5",0,4.36887647126517,1,1,0.997481376708468,0.838152426563481,99.9160458902823,"1; 2","Ingalls_Standards; MoNA"
"Isethionic Acid",4,"Isethionic Acid","Isethionate; 2-Hydroxyethanesulfonic acid; Isethionic acid; 2-Hydroxyethane-1-sulfonic acid; 2-Hydroxyethanesulfonate ID:KO001232","KO001232",124.990857,124.990857,124.991403072,"HILIC","HILIC",-1,-1,-1,"124.99041, 100; 94.97973, 27.2","124.99033, 100; 94.97968, 43.9","125, 100; 95.1, 44.2; 80.1, 38.2; 106.9, 13.8; 123.1, 2; 89, 0.5",0,4.36887647126517,1,1,0.997344270022785,0.838152426563481,99.9114756674261,"1; 2","Ingalls_Standards; MoNA"
"Isethionic Acid",4,"Isethionic Acid","Isethionate; 2-Hydroxyethanesulfonic acid; Isethionic acid; 2-Hydroxyethane-1-sulfonic acid; 2-Hydroxyethanesulfonate ID:KO001232","KO001232",124.990857,124.990857,124.991403072,"HILIC","HILIC",-1,-1,-1,"124.99041, 100; 94.97973, 27.2","79.95615, 100; 124.9903, 97.7","125, 100; 95.1, 44.2; 80.1, 38.2; 106.9, 13.8; 123.1, 2; 89, 0.5",0,4.36887647126517,1,1,0.884699645806254,0.838152426563481,96.1566548602085,"1; 2","Ingalls_Standards; MoNA"
"Isethionic Acid",4,"Isethionic Acid","Isethionate; 2-Hydroxyethanesulfonic acid; Isethionic acid; 2-Hydroxyethane-1-sulfonic acid; 2-Hydroxyethanesulfonate ID:KO001232","KO001232",124.990857,124.990857,124.991403072,"HILIC","HILIC",-1,-1,-1,"124.99041, 100; 94.97973, 27.2","79.95613, 100; 124.99026, 96.7","125, 100; 95.1, 44.2; 80.1, 38.2; 106.9, 13.8; 123.1, 2; 89, 0.5",0,4.36887647126517,1,1,0.884031053086387,0.838152426563481,96.1343684362129,"1; 2","Ingalls_Standards; MoNA"
"Isethionic Acid",4,"Isethionic Acid","Isethionate; 2-Hydroxyethanesulfonic acid; Isethionic acid; 2-Hydroxyethane-1-sulfonic acid; 2-Hydroxyethanesulfonate ID:KO001232","KO001232",124.990857,124.990857,124.991403072,"HILIC","HILIC",-1,-1,-1,"124.99041, 100; 94.97973, 27.2","79.95616, 100; 94.97967, 5.1","125, 100; 95.1, 44.2; 80.1, 38.2; 106.9, 13.8; 123.1, 2; 89, 0.5",0,4.36887647126517,1,1,0.0875550824238411,0.838152426563481,69.585169414128,"1; 2","Ingalls_Standards; MoNA"
"Isethionic Acid",4,"Isethionic Acid","Isethionate; 2-Hydroxyethanesulfonic acid; Isethionic acid; 2-Hydroxyethane-1-sulfonic acid; 2-Hydroxyethanesulfonate ID:KO001232","KO001232",124.990857,124.990857,124.991403072,"HILIC","HILIC",-1,-1,-1,"124.99041, 100; 94.97973, 27.2","79.95614, 100; 94.97964, 5.1","125, 100; 95.1, 44.2; 80.1, 38.2; 106.9, 13.8; 123.1, 2; 89, 0.5",0,4.36887647126517,1,1,0.0875550719765361,0.838152426563481,69.5851690658845,"1; 2","Ingalls_Standards; MoNA"
"I126.904R4.8",5,NA,NA,NA,126.9039935,NA,NA,"HILIC",NA,-1,NA,NA,"126.90401, 100; 85.03849, 1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L-Pyroglutamic acid",6,"Taurine, D4","5-OXO-D-PROLINE ID:CCMSLIB00000578175","CCMSLIB00000578175",128.034768,128.0325,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5",NA,"128.03415, 100; 129.03761, 3.1; 82.0285, 1.4; 84.04405, 0.9",17.7142522407595,4.28384929283656,0.99359084680306,0.000263409685041803,NA,0.968323894213955,49.6927128244051,"2","MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-D-PROLINE ID:CCMSLIB00000578175","CCMSLIB00000578175",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03425, 100; 82.02868, 3.2","128.03415, 100; 129.03761, 3.1; 82.0285, 1.4; 84.04405, 0.9",0,4.28384929283656,1,1,0.909962160297431,0.968323894213955,96.998738676581,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-D-PROLINE ID:CCMSLIB00000578175","CCMSLIB00000578175",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03348, 100; 82.02822, 3.2","128.03415, 100; 129.03761, 3.1; 82.0285, 1.4; 84.04405, 0.9",0,4.28384929283656,1,1,0.909962156332902,0.968323894213955,96.9987385444301,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-D-PROLINE ID:CCMSLIB00000578175","CCMSLIB00000578175",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03425, 100; 82.02862, 3.1","128.03415, 100; 129.03761, 3.1; 82.0285, 1.4; 84.04405, 0.9",0,4.28384929283656,1,1,0.910038422678817,0.968323894213955,97.0012807559606,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-D-PROLINE ID:CCMSLIB00000578175","CCMSLIB00000578175",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03427, 100; 82.02867, 3","128.03415, 100; 129.03761, 3.1; 82.0285, 1.4; 84.04405, 0.9",0,4.28384929283656,1,1,0.910114692945647,0.968323894213955,97.0038230981882,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-D-PROLINE ID:CCMSLIB00000578175","CCMSLIB00000578175",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03427, 100; 82.02865, 6.1","128.03415, 100; 129.03761, 3.1; 82.0285, 1.4; 84.04405, 0.9",0,4.28384929283656,1,1,0.907759066209284,0.968323894213955,96.9253022069761,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-D-PROLINE ID:CCMSLIB00000578175","CCMSLIB00000578175",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03424, 100; 82.02865, 5.7","128.03415, 100; 129.03761, 3.1; 82.0285, 1.4; 84.04405, 0.9",0,4.28384929283656,1,1,0.908061986800263,0.968323894213955,96.9353995600088,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-D-PROLINE ID:CCMSLIB00000578175","CCMSLIB00000578175",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","82.02967, 100; 128.03429, 48.6","128.03415, 100; 129.03761, 3.1; 82.0285, 1.4; 84.04405, 0.9",0,4.28384929283656,1,1,0.786243334867665,0.968323894213955,92.8747778289222,"1; 2","Ingalls_Standards; MoNA"
